"T","L","min_space","tol","|J - J_hat|","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,15,1e-10,"0.053","1.035","0.315","0.205","1.489","0.972","0.973"
100,2,15,1e-07,"0.052","1.015","0.308","0.201","1.482","0.972","0.250"
100,2,15,1e-05,"0.045","1.183","0.349","0.335","1.540","0.968","1.529"
100,2,15,0.001,"0.029","0.782","0.222","0.163","1.434","0.972","0.012"
100,5,15,1e-10,"0.109","1.441","0.222","0.327","1.107","0.988","2.032"
100,5,15,1e-07,"0.111","1.472","0.224","0.337","1.106","0.988","0.437"
100,5,15,1e-05,"0.221","3.328","0.437","0.693","1.135","0.987","0.085"
100,5,15,0.001,"0.191","2.478","0.381","0.648","1.117","0.988","0.021"
500,2,15,1e-10,"0.041","3.810","1.245","1.408","3.437","0.941","11.412"
500,2,15,1e-07,"0.043","4.194","1.347","1.723","3.445","0.940"," 1.562"
500,2,15,1e-05,"0.083","7.500","2.569","4.841","3.294","0.939"," 0.185"
500,2,15,0.001,"0.061","4.725","1.597","3.258","3.502","0.941"," 0.039"
500,2,30,1e-10,"0.030","3.699","1.078","0.849","3.591","0.941","12.830"
500,2,30,1e-07,"0.031","3.896","1.160","0.994","3.588","0.941"," 1.548"
500,2,30,1e-05,"0.054","5.929","1.815","2.882","3.445","0.935"," 0.173"
500,2,30,0.001,"0.035","4.163","1.326","1.743","3.624","0.940"," 0.038"
500,5,15,1e-10,"0.130"," 6.762","1.004","1.801","2.250","0.949","24.995"
500,5,15,1e-07,"0.145"," 7.281","1.070","2.064","2.253","0.949"," 2.777"
500,5,15,1e-05,"0.267","11.900","1.592","3.888","2.157","0.952"," 0.375"
500,5,15,0.001,"0.301","11.240","1.648","4.244","2.392","0.951"," 0.082"
500,5,30,1e-10,"0.071"," 5.508","0.786","0.972","2.380","0.944","22.970"
500,5,30,1e-07,"0.087"," 6.261","0.886","1.203","2.387","0.943"," 2.597"
500,5,30,1e-05,"0.185","11.381","1.514","2.783","2.263","0.946"," 0.359"
500,5,30,0.001,"0.160"," 9.086","1.294","2.325","2.460","0.944"," 0.082"
500,10,15,1e-10,"0.575","13.959","1.102","2.555","1.674","0.963","47.349"
500,10,15,1e-07,"0.638","15.118","1.225","2.839","1.681","0.962"," 5.588"
500,10,15,1e-05,"0.758","17.512","1.405","3.452","1.612","0.962"," 0.937"
500,10,15,0.001,"1.037","22.320","1.958","4.938","1.838","0.962"," 0.191"
500,10,30,1e-10,"0.249"," 9.762","0.760","1.256","1.686","0.955","42.987"
500,10,30,1e-07,"0.296","10.875","0.868","1.468","1.697","0.955"," 5.287"
500,10,30,1e-05,"0.442","14.708","1.167","2.197","1.647","0.957"," 0.891"
500,10,30,0.001,"0.610","19.439","1.615","3.144","1.799","0.955"," 0.196"
1000,2,30,1e-10,"0.030"," 7.518","2.265"," 2.294","5.199","0.934","32.231"
1000,2,30,1e-07,"0.042"," 8.421","2.826"," 3.106","5.229","0.933"," 2.668"
1000,2,30,1e-05,"0.110","21.442","7.267","12.519","4.714","0.933"," 0.259"
1000,2,30,0.001,"0.056"," 9.254","3.376"," 5.157","5.340","0.931"," 0.071"
1000,2,50,1e-10,"0.027"," 6.985","2.252","1.786","5.527","0.925","33.539"
1000,2,50,1e-07,"0.036"," 8.061","2.730","2.577","5.565","0.924"," 2.680"
1000,2,50,1e-05,"0.094","19.263","6.250","9.726","4.850","0.934"," 0.248"
1000,2,50,0.001,"0.042"," 8.142","3.163","3.373","5.626","0.926"," 0.071"
1000,5,30,1e-10,"0.102","11.307","1.703","2.776","3.495","0.940","61.906"
1000,5,30,1e-07,"0.133","12.730","2.045","3.331","3.529","0.939"," 5.172"
1000,5,30,1e-05,"0.218","20.143","2.802","6.012","3.199","0.943"," 0.620"
1000,5,30,0.001,"0.273","20.226","3.283","7.396","3.743","0.940"," 0.154"
1000,5,50,1e-10,"0.071","10.023","1.567","1.919","3.665","0.934","62.226"
1000,5,50,1e-07,"0.094","10.987","1.850","2.263","3.683","0.933"," 4.844"
1000,5,50,1e-05,"0.176","19.951","2.814","4.897","3.369","0.938"," 0.598"
1000,5,50,0.001,"0.186","17.059","2.889","4.778","3.859","0.934"," 0.152"
1000,10,30,1e-10,"0.366","20.076","1.654","3.220","2.513","0.942","121.808"
1000,10,30,1e-07,"0.411","21.607","1.831","3.539","2.539","0.942"," 11.420"
1000,10,30,1e-05,"0.524","26.372","2.131","4.684","2.379","0.945","  1.692"
1000,10,30,0.001,"0.787","36.019","3.124","7.224","2.786","0.943","  0.386"
1000,10,50,1e-10,"0.197","15.685","1.300","1.913","2.636","0.937","119.104"
1000,10,50,1e-07,"0.252","17.505","1.552","2.251","2.665","0.936"," 11.365"
1000,10,50,1e-05,"0.333","22.139","1.786","3.073","2.518","0.941","  1.639"
1000,10,50,0.001,"0.507","30.850","2.661","4.889","2.856","0.937","  0.387"
