"T","L","min_space","prior","|J - J_hat|","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,15,"0.000","0.000","0.511","0.089","0.092","1.355","0.973","0.011"
100,2,15,"0.001","0.000","0.510","0.089","0.092","1.354","0.972","0.010"
100,2,15,"0.100","0.000","0.536","0.095","0.096","1.363","0.970","0.009"
100,5,15,"0.000","0.010","0.888","0.101","0.126","1.096","0.988","0.091"
100,5,15,"0.001","0.005","0.798","0.090","0.108","1.095","0.988","0.089"
100,5,15,"0.100","0.015","1.388","0.163","0.209","1.181","0.987","0.074"
500,2,15,"0.000","0.005","2.854","0.624","0.832","3.313","0.942","0.067"
500,2,15,"0.001","0.005","2.864","0.626","0.836","3.313","0.942","0.066"
500,2,15,"0.100","0.005","2.869","0.618","0.829","3.327","0.942","0.068"
500,2,30,"0.000","0.001","2.926","0.578","0.614","3.466","0.941","0.063"
500,2,30,"0.001","0.001","2.930","0.579","0.614","3.466","0.942","0.061"
500,2,30,"0.100","0.001","2.916","0.560","0.594","3.473","0.940","0.060"
500,5,15,"0.000","0.044","5.091","0.663","1.086","2.196","0.950","0.552"
500,5,15,"0.001","0.040","4.999","0.648","1.039","2.197","0.950","0.541"
500,5,15,"0.100","0.051","5.978","0.788","1.368","2.264","0.950","0.606"
500,5,30,"0.000","0.021","4.998","0.616","0.804","2.314","0.945","0.506"
500,5,30,"0.001","0.021","5.132","0.638","0.836","2.320","0.945","0.488"
500,5,30,"0.100","0.033","6.148","0.773","1.124","2.366","0.943","0.532"
500,10,15,"0.000","0.202","10.360","0.822","1.278","1.710","0.963","2.443"
500,10,15,"0.001","0.197","10.309","0.811","1.265","1.707","0.963","2.383"
500,10,15,"0.100","0.232","12.853","1.065","1.817","1.784","0.962","2.640"
500,10,30,"0.000","0.082"," 8.499","0.627","0.852","1.686","0.956","2.091"
500,10,30,"0.001","0.079"," 8.373","0.620","0.839","1.687","0.956","2.025"
500,10,30,"0.100","0.130","12.017","0.924","1.367","1.765","0.954","2.145"
1000,2,30,"0.000","0.004","5.926","1.257","1.511","5.097","0.934","0.149"
1000,2,30,"0.001","0.004","5.933","1.258","1.512","5.097","0.934","0.146"
1000,2,30,"0.100","0.004","5.830","1.221","1.467","5.112","0.934","0.148"
1000,2,50,"0.000","0.003","5.753","1.221","1.394","5.385","0.925","0.152"
1000,2,50,"0.001","0.003","5.754","1.221","1.394","5.385","0.925","0.145"
1000,2,50,"0.100","0.003","5.689","1.211","1.390","5.395","0.926","0.141"
1000,5,30,"0.000","0.060","10.505","1.394","2.527","3.428","0.940","1.249"
1000,5,30,"0.001","0.059","10.500","1.417","2.516","3.432","0.940","1.184"
1000,5,30,"0.100","0.078","12.812","1.709","3.261","3.482","0.940","1.377"
1000,5,50,"0.000","0.041","10.292","1.341","2.011","3.606","0.934","1.160"
1000,5,50,"0.001","0.039","10.076","1.314","1.956","3.603","0.935","1.092"
1000,5,50,"0.100","0.058","12.265","1.550","2.579","3.635","0.935","1.226"
1000,10,30,"0.000","0.192","18.048","1.464","2.412","2.530","0.943","5.229"
1000,10,30,"0.001","0.194","18.071","1.457","2.410","2.525","0.943","4.796"
1000,10,30,"0.100","0.250","22.049","1.792","3.156","2.591","0.943","5.757"
1000,10,50,"0.000","0.114","16.699","1.297","1.851","2.646","0.937","4.818"
1000,10,50,"0.001","0.110","16.280","1.268","1.795","2.643","0.937","4.442"
1000,10,50,"0.100","0.164","21.902","1.715","2.621","2.710","0.938","5.149"
